word,corpus,freq
Dom Pérignon,fra_jsi_newsfeed_virt,906
Doritos,fra_jsi_newsfeed_virt,734
Dr Pepper,fra_jsi_newsfeed_virt,395
Dr. Martens,fra_jsi_newsfeed_virt,29
Duracell,fra_jsi_newsfeed_virt,640
Durex,fra_jsi_newsfeed_virt,716
Dymo,fra_jsi_newsfeed_virt,1482
Ebly,fra_jsi_newsfeed_virt,605
Elseve,fra_jsi_newsfeed_virt,51
Emporio Armani,fra_jsi_newsfeed_virt,720
Epilady,fra_jsi_newsfeed_virt,6
Escalator,fra_jsi_newsfeed_virt,3955
Esquimaux,fra_jsi_newsfeed_virt,711
Evian,fra_jsi_newsfeed_virt,20957
Excel,fra_jsi_newsfeed_virt,671990
Fairy,fra_jsi_newsfeed_virt,2042
Fanta,fra_jsi_newsfeed_virt,283137
Febreze,fra_jsi_newsfeed_virt,129
Fermeture Éclair,fra_jsi_newsfeed_virt,1917
Ferrero Rocher,fra_jsi_newsfeed_virt,352
Fiat,fra_jsi_newsfeed_virt,50590
Fibrociment,fra_jsi_newsfeed_virt,656
Ficello,fra_jsi_newsfeed_virt,41
Figolu,fra_jsi_newsfeed_virt,250
Fixodent,fra_jsi_newsfeed_virt,3
Fluimucil,fra_jsi_newsfeed_virt,42
Flunch,fra_jsi_newsfeed_virt,1435
Ford,fra_jsi_newsfeed_virt,345287
Foreo,fra_jsi_newsfeed_virt,217
Formica,fra_jsi_newsfeed_virt,1318
Freedent,fra_jsi_newsfeed_virt,63
Frigidaire,fra_jsi_newsfeed_virt,2110
Frisbee,fra_jsi_newsfeed_virt,2011
Frosties,fra_jsi_newsfeed_virt,95
Fruit d'or,fra_jsi_newsfeed_virt,0
Furby,fra_jsi_newsfeed_virt,199
Fuze Tea,fra_jsi_newsfeed_virt,79
Garnier,fra_jsi_newsfeed_virt,30770
Gatorade,fra_jsi_newsfeed_virt,680
Gavottes,fra_jsi_newsfeed_virt,371
Géant vert,fra_jsi_newsfeed_virt,1161
Gibson,fra_jsi_newsfeed_virt,11910
Gillette,fra_jsi_newsfeed_virt,2555
Giorgio Armani,fra_jsi_newsfeed_virt,2339
Gomina,fra_jsi_newsfeed_virt,601
Google,fra_jsi_newsfeed_virt,699695
H&S,fra_jsi_newsfeed_virt,0
Harley-Davidson,fra_jsi_newsfeed_virt,6224
Havaianas,fra_jsi_newsfeed_virt,390
Heineken,fra_jsi_newsfeed_virt,5249
Hépar,fra_jsi_newsfeed_virt,837
Hermès,fra_jsi_newsfeed_virt,20320
Honda,fra_jsi_newsfeed_virt,70990
Hot Wheels,fra_jsi_newsfeed_virt,791
Hula Hoop,fra_jsi_newsfeed_virt,308
Hunter,fra_jsi_newsfeed_virt,25711
Ibanez,fra_jsi_newsfeed_virt,3767
Infographie,fra_jsi_newsfeed_virt,27219
Intercités,fra_jsi_newsfeed_virt,11569
Invisalign,fra_jsi_newsfeed_virt,160
iPad,fra_jsi_newsfeed_virt,118136
Iphone,fra_jsi_newsfeed_virt,432437
Jacuzzi,fra_jsi_newsfeed_virt,5673
Jaguar,fra_jsi_newsfeed_virt,32299
Jeep,fra_jsi_newsfeed_virt,28455
Jimmy Choo,fra_jsi_newsfeed_virt,1363
Jordan,fra_jsi_newsfeed_virt,239752
JumboTron,fra_jsi_newsfeed_virt,28
K-Way,fra_jsi_newsfeed_virt,1061
Kärcher,fra_jsi_newsfeed_virt,1173
Kawasaki,fra_jsi_newsfeed_virt,10608
Kellogg's,fra_jsi_newsfeed_virt,0
Kellogg’s Corn Flakes,fra_jsi_newsfeed_virt,0
Kérosène,fra_jsi_newsfeed_virt,9974
Kinder,fra_jsi_newsfeed_virt,7805
Kinder Bueno,fra_jsi_newsfeed_virt,324
Kinder Schoko-Bons,fra_jsi_newsfeed_virt,17
Kinder Surprise,fra_jsi_newsfeed_virt,658
Kiri,fra_jsi_newsfeed_virt,33198
KitKat,fra_jsi_newsfeed_virt,2603
Klaxon,fra_jsi_newsfeed_virt,17248
Kleenex,fra_jsi_newsfeed_virt,1375
Knacki,fra_jsi_newsfeed_virt,372
Kodak,fra_jsi_newsfeed_virt,3968
Kub Or/Bouillon Kub,fra_jsi_newsfeed_virt,0
La Laitière,fra_jsi_newsfeed_virt,510
La Poste,fra_jsi_newsfeed_virt,157909
La vache qui rit,fra_jsi_newsfeed_virt,1071
Labello,fra_jsi_newsfeed_virt,298
Lacoste,fra_jsi_newsfeed_virt,14195
Lamborghini,fra_jsi_newsfeed_virt,17779
Land Rover,fra_jsi_newsfeed_virt,13414
Lay's,fra_jsi_newsfeed_virt,0
Lego,fra_jsi_newsfeed_virt,39695
Leroy Merlin,fra_jsi_newsfeed_virt,4639
Levi's,fra_jsi_newsfeed_virt,0
Linoleum,fra_jsi_newsfeed_virt,53
Lipton,fra_jsi_newsfeed_virt,1655
Listerine,fra_jsi_newsfeed_virt,100
Loctite,fra_jsi_newsfeed_virt,109
Loewe,fra_jsi_newsfeed_virt,1907
Longchamp,fra_jsi_newsfeed_virt,9771
Louis Vuitton,fra_jsi_newsfeed_virt,16430
Lycra,fra_jsi_newsfeed_virt,1489
Lyocell,fra_jsi_newsfeed_virt,149
M&M's,fra_jsi_newsfeed_virt,0
MacBook,fra_jsi_newsfeed_virt,43173
Magnum,fra_jsi_newsfeed_virt,7436
Maizena,fra_jsi_newsfeed_virt,25
Malabar,fra_jsi_newsfeed_virt,1565
Manolo Blahnik,fra_jsi_newsfeed_virt,455
Marlboro,fra_jsi_newsfeed_virt,2938
Martini,fra_jsi_newsfeed_virt,70467
Mauser,fra_jsi_newsfeed_virt,407
Meccano,fra_jsi_newsfeed_virt,1230
Mentos,fra_jsi_newsfeed_virt,1108
Mercalm,fra_jsi_newsfeed_virt,56
Mercedes-Benz,fra_jsi_newsfeed_virt,16017
Mercurochrome,fra_jsi_newsfeed_virt,231
Michael Kors,fra_jsi_newsfeed_virt,2403
Michelin,fra_jsi_newsfeed_virt,76155
MINI,fra_jsi_newsfeed_virt,10000000
Mir,fra_jsi_newsfeed_virt,7243
Mobylette,fra_jsi_newsfeed_virt,5277
Moët & Chandon,fra_jsi_newsfeed_virt,0
Monopoly,fra_jsi_newsfeed_virt,6177
Montblanc,fra_jsi_newsfeed_virt,2563
Mousline,fra_jsi_newsfeed_virt,161
Moviola,fra_jsi_newsfeed_virt,41
Mr. Propre,fra_jsi_newsfeed_virt,0
Néoprène,fra_jsi_newsfeed_virt,1201
Nescafé,fra_jsi_newsfeed_virt,1286
Nespresso,fra_jsi_newsfeed_virt,7148
Nesquik,fra_jsi_newsfeed_virt,425
Nestea,fra_jsi_newsfeed_virt,270
Nestlé Nidal,fra_jsi_newsfeed_virt,2
New Balance,fra_jsi_newsfeed_virt,2264
Nike,fra_jsi_newsfeed_virt,40791
Nintendo,fra_jsi_newsfeed_virt,134067
Nivea,fra_jsi_newsfeed_virt,3033432
Nocciolata,fra_jsi_newsfeed_virt,35
Nutella,fra_jsi_newsfeed_virt,8784
Nylon,fra_jsi_newsfeed_virt,5880
Oasis,fra_jsi_newsfeed_virt,25230
Orangina,fra_jsi_newsfeed_virt,1093
Oreo,fra_jsi_newsfeed_virt,8053
Orfidal,fra_jsi_newsfeed_virt,1
Pampers,fra_jsi_newsfeed_virt,1370
Panier de Yoplait,fra_jsi_newsfeed_virt,74
Pantene,fra_jsi_newsfeed_virt,384
Pattex,fra_jsi_newsfeed_virt,20
Pédalo,fra_jsi_newsfeed_virt,4009
Pepsi,fra_jsi_newsfeed_virt,10788
Perfecto,fra_jsi_newsfeed_virt,2195
Perle de lait,fra_jsi_newsfeed_virt,53
Perrier,fra_jsi_newsfeed_virt,11235
Persol,fra_jsi_newsfeed_virt,457
Pescanova,fra_jsi_newsfeed_virt,27
Petit Yoplait,fra_jsi_newsfeed_virt,1
Petits Filous,fra_jsi_newsfeed_virt,98
Peugeot,fra_jsi_newsfeed_virt,114837
Philadelphia,fra_jsi_newsfeed_virt,5949
Photomaton,fra_jsi_newsfeed_virt,1499
Photoshop,fra_jsi_newsfeed_virt,11070
Picard,fra_jsi_newsfeed_virt,104737
Pilot,fra_jsi_newsfeed_virt,804374
Pim's,fra_jsi_newsfeed_virt,0
Ping-Pong,fra_jsi_newsfeed_virt,9308
Pitch,fra_jsi_newsfeed_virt,26766
Placoplâtre,fra_jsi_newsfeed_virt,231
Playboy,fra_jsi_newsfeed_virt,7335
Playmobil,fra_jsi_newsfeed_virt,6219
PlayStation,fra_jsi_newsfeed_virt,89836
Plexiglas,fra_jsi_newsfeed_virt,11431
Pliz,fra_jsi_newsfeed_virt,373
Pokémon,fra_jsi_newsfeed_virt,63292
Polaroid,fra_jsi_newsfeed_virt,3032
Polo,fra_jsi_newsfeed_virt,427903
Pom'Potes,fra_jsi_newsfeed_virt,0
Post-it,fra_jsi_newsfeed_virt,3532
Postéclair,fra_jsi_newsfeed_virt,0
Power Point,fra_jsi_newsfeed_virt,786
Powerade,fra_jsi_newsfeed_virt,250
Primpéran,fra_jsi_newsfeed_virt,38
Prince,fra_jsi_newsfeed_virt,600804
Pringles,fra_jsi_newsfeed_virt,400
PSP,fra_jsi_newsfeed_virt,5220
Ralph Lauren,fra_jsi_newsfeed_virt,3633
RATP,fra_jsi_newsfeed_virt,55291
Ray-Ban,fra_jsi_newsfeed_virt,1095
Reebok,fra_jsi_newsfeed_virt,2381
Reese's,fra_jsi_newsfeed_virt,0
Reflex,fra_jsi_newsfeed_virt,10705
Renault,fra_jsi_newsfeed_virt,259872
Rexona,fra_jsi_newsfeed_virt,130
Ricard,fra_jsi_newsfeed_virt,62930
Rice Krispies,fra_jsi_newsfeed_virt,159
Ricola,fra_jsi_newsfeed_virt,37238
Rimmel,fra_jsi_newsfeed_virt,722
Ripolin,fra_jsi_newsfeed_virt,1084
Ritz,fra_jsi_newsfeed_virt,80544
Roaccutane,fra_jsi_newsfeed_virt,151
Roca,fra_jsi_newsfeed_virt,725979
Rolex,fra_jsi_newsfeed_virt,12463
Rollerblade,fra_jsi_newsfeed_virt,39
Rolls-Royce,fra_jsi_newsfeed_virt,10703
Rosa Clará,fra_jsi_newsfeed_virt,34
Rotring,fra_jsi_newsfeed_virt,76
Rubalise,fra_jsi_newsfeed_virt,1367
Saab,fra_jsi_newsfeed_virt,6865
Sanisette,fra_jsi_newsfeed_virt,579
Sanytol,fra_jsi_newsfeed_virt,43
Scalextric,fra_jsi_newsfeed_virt,32
Scotch,fra_jsi_newsfeed_virt,20742
Scotch Brite,fra_jsi_newsfeed_virt,0
Scottex,fra_jsi_newsfeed_virt,9
Seat,fra_jsi_newsfeed_virt,59423
Sensodyne,fra_jsi_newsfeed_virt,50
Sephora,fra_jsi_newsfeed_virt,8010
Silestone,fra_jsi_newsfeed_virt,12
Silk-épil,fra_jsi_newsfeed_virt,31
Skechers,fra_jsi_newsfeed_virt,418
Skype,fra_jsi_newsfeed_virt,28212
Smart,fra_jsi_newsfeed_virt,797236
SNCF,fra_jsi_newsfeed_virt,240276
Sodexo,fra_jsi_newsfeed_virt,11900
Soignon,fra_jsi_newsfeed_virt,889
Sonotone,fra_jsi_newsfeed_virt,278
Sopalin,fra_jsi_newsfeed_virt,427
Special K,fra_jsi_newsfeed_virt,494
Spontex,fra_jsi_newsfeed_virt,266
Sprite,fra_jsi_newsfeed_virt,1415
St Môret,fra_jsi_newsfeed_virt,40
Stabilo,fra_jsi_newsfeed_virt,543
Stan Smith,fra_jsi_newsfeed_virt,1367
Starbucks,fra_jsi_newsfeed_virt,15443
Strepsils,fra_jsi_newsfeed_virt,86
Suchard,fra_jsi_newsfeed_virt,326
Sugus,fra_jsi_newsfeed_virt,77
Sunny Delight,fra_jsi_newsfeed_virt,12
Superglue,fra_jsi_newsfeed_virt,40
Supertite,fra_jsi_newsfeed_virt,0
Suzuki,fra_jsi_newsfeed_virt,30576
Swaroski,fra_jsi_newsfeed_virt,27
Taillefine,fra_jsi_newsfeed_virt,103
Tamagotchi,fra_jsi_newsfeed_virt,1124
Tampax,fra_jsi_newsfeed_virt,415
Taser,fra_jsi_newsfeed_virt,8725
Teflon,fra_jsi_newsfeed_virt,374
Telepromter,fra_jsi_newsfeed_virt,0
Tena,fra_jsi_newsfeed_virt,4776048
Tencel,fra_jsi_newsfeed_virt,345
Teraxyl,fra_jsi_newsfeed_virt,0
Tetra Brik,fra_jsi_newsfeed_virt,10
Tetra Pak,fra_jsi_newsfeed_virt,792
Texto,fra_jsi_newsfeed_virt,25573
TGV,fra_jsi_newsfeed_virt,72021
Thermomix,fra_jsi_newsfeed_virt,2772
Thermos,fra_jsi_newsfeed_virt,15716
Tiffany & Co.,fra_jsi_newsfeed_virt,0
Tipp-ex,fra_jsi_newsfeed_virt,120
Toblerone,fra_jsi_newsfeed_virt,655
Tommy Hilfiger,fra_jsi_newsfeed_virt,2779
Tourtel Twist,fra_jsi_newsfeed_virt,51
Tous,fra_jsi_newsfeed_virt,7025662
Toyota,fra_jsi_newsfeed_virt,86543
Trésor,fra_jsi_newsfeed_virt,394565
TUC,fra_jsi_newsfeed_virt,1329
Tupperware,fra_jsi_newsfeed_virt,1974
Turmix,fra_jsi_newsfeed_virt,7
Twitter,fra_jsi_newsfeed_virt,750557
Twix,fra_jsi_newsfeed_virt,387
Uber,fra_jsi_newsfeed_virt,519245
Ugg,fra_jsi_newsfeed_virt,673
Uno,fra_jsi_newsfeed_virt,3053
Valentino,fra_jsi_newsfeed_virt,16821
Valium,fra_jsi_newsfeed_virt,1052
Vanish,fra_jsi_newsfeed_virt,922
Vans,fra_jsi_newsfeed_virt,45746
Vaseline,fra_jsi_newsfeed_virt,1112
Velcro,fra_jsi_newsfeed_virt,1140
Velux,fra_jsi_newsfeed_virt,1333
Ventoline,fra_jsi_newsfeed_virt,682
Versace,fra_jsi_newsfeed_virt,7296
Vespa,fra_jsi_newsfeed_virt,5008
Viagra,fra_jsi_newsfeed_virt,4862
Vicks Vaporub,fra_jsi_newsfeed_virt,97
Victoria,fra_jsi_newsfeed_virt,106693
Visa,fra_jsi_newsfeed_virt,1993592
Vitroclen,fra_jsi_newsfeed_virt,0
Volkswagen,fra_jsi_newsfeed_virt,113033
Voll-Damm,fra_jsi_newsfeed_virt,3
Voltaren,fra_jsi_newsfeed_virt,121
Volvic,fra_jsi_newsfeed_virt,4633
Volvo,fra_jsi_newsfeed_virt,37156
Walkman,fra_jsi_newsfeed_virt,1605
WD-40,fra_jsi_newsfeed_virt,1
Whatsapp,fra_jsi_newsfeed_virt,73462
Whiskas,fra_jsi_newsfeed_virt,228
Wifi,fra_jsi_newsfeed_virt,56313
Wii,fra_jsi_newsfeed_virt,15643
Wipp Express,fra_jsi_newsfeed_virt,0
Word,fra_jsi_newsfeed_virt,33366
Yamaha,fra_jsi_newsfeed_virt,33430
Yop,fra_jsi_newsfeed_virt,358
Yopa!,fra_jsi_newsfeed_virt,0
Yoplait,fra_jsi_newsfeed_virt,1183
Yves Rocher,fra_jsi_newsfeed_virt,2971
Yves Saint Laurent,fra_jsi_newsfeed_virt,9011
Zamboni,fra_jsi_newsfeed_virt,645
Zodiac,fra_jsi_newsfeed_virt,12086
3-EN-UNO,fra_jsi_newsfeed_virt,0
Afterbite,fra_jsi_newsfeed_virt,0
Aftersun,fra_jsi_newsfeed_virt,4
Air Wick,fra_jsi_newsfeed_virt,55
Alcampo,fra_jsi_newsfeed_virt,13
Algidol,fra_jsi_newsfeed_virt,0
Alhambra,fra_jsi_newsfeed_virt,3078
Alpino,fra_jsi_newsfeed_virt,89
Ambipur,fra_jsi_newsfeed_virt,2
Amstel,fra_jsi_newsfeed_virt,6071
Aquarius,fra_jsi_newsfeed_virt,11647
Aspirina,fra_jsi_newsfeed_virt,2
Avecrem,fra_jsi_newsfeed_virt,0
Axe,fra_jsi_newsfeed_virt,7258
Bifrutas,fra_jsi_newsfeed_virt,0
Bimbo,fra_jsi_newsfeed_virt,8215
Binaca,fra_jsi_newsfeed_virt,30
Biodramina,fra_jsi_newsfeed_virt,0
Bisolfren,fra_jsi_newsfeed_virt,0
Bisolgrip,fra_jsi_newsfeed_virt,0
Bitter Kas,fra_jsi_newsfeed_virt,0
Bollycao,fra_jsi_newsfeed_virt,0
Bonoloto,fra_jsi_newsfeed_virt,2
Bricor,fra_jsi_newsfeed_virt,1292
Budweiser,fra_jsi_newsfeed_virt,2112
Burofax,fra_jsi_newsfeed_virt,478
Cabify,fra_jsi_newsfeed_virt,186
Cacaolat,fra_jsi_newsfeed_virt,1
Celofán,fra_jsi_newsfeed_virt,0
Chiquilín,fra_jsi_newsfeed_virt,0
Choco Krispies,fra_jsi_newsfeed_virt,1
Choleck,fra_jsi_newsfeed_virt,0
Chufi,fra_jsi_newsfeed_virt,0
Climalit,fra_jsi_newsfeed_virt,15
ColaCao,fra_jsi_newsfeed_virt,1
Conguitos,fra_jsi_newsfeed_virt,43
Corona / Coronita,fra_jsi_newsfeed_virt,0
Couldina,fra_jsi_newsfeed_virt,0
Cristalmina,fra_jsi_newsfeed_virt,0
Cristasol,fra_jsi_newsfeed_virt,0
Cruzcampo,fra_jsi_newsfeed_virt,12
Cucal,fra_jsi_newsfeed_virt,25
Dalsy,fra_jsi_newsfeed_virt,6
Damm,fra_jsi_newsfeed_virt,79933
Damm Lemon,fra_jsi_newsfeed_virt,0
Danet,fra_jsi_newsfeed_virt,1958
Dodot,fra_jsi_newsfeed_virt,23
Don Limpio,fra_jsi_newsfeed_virt,7
Donettes,fra_jsi_newsfeed_virt,1
Donuts,fra_jsi_newsfeed_virt,2243
Dormidina,fra_jsi_newsfeed_virt,0
El Caserío,fra_jsi_newsfeed_virt,0
El Corte Inglés,fra_jsi_newsfeed_virt,153
Elvive,fra_jsi_newsfeed_virt,28
Estrella Damm,fra_jsi_newsfeed_virt,46
Estrella Galicia,fra_jsi_newsfeed_virt,116
Fagor,fra_jsi_newsfeed_virt,1315
Filipinos,fra_jsi_newsfeed_virt,39
Fixo,fra_jsi_newsfeed_virt,1832
Flora,fra_jsi_newsfeed_virt,60905
Flumil,fra_jsi_newsfeed_virt,3
Fortasec,fra_jsi_newsfeed_virt,0
Frenadol,fra_jsi_newsfeed_virt,1
Futbolín,fra_jsi_newsfeed_virt,3
Gallina Blanca,fra_jsi_newsfeed_virt,10
Gelocatil,fra_jsi_newsfeed_virt,0
Gigante verde,fra_jsi_newsfeed_virt,0
Gominolas,fra_jsi_newsfeed_virt,0
Gulas,fra_jsi_newsfeed_virt,218
Hacendado,fra_jsi_newsfeed_virt,2
Hemicraneal,fra_jsi_newsfeed_virt,0
Hipercor,fra_jsi_newsfeed_virt,15
Huesitos,fra_jsi_newsfeed_virt,0
Infografía,fra_jsi_newsfeed_virt,1
Iniston,fra_jsi_newsfeed_virt,10
Juanola,fra_jsi_newsfeed_virt,73
Kas,fra_jsi_newsfeed_virt,2536
Kinder Sorpresa,fra_jsi_newsfeed_virt,2
Krave,fra_jsi_newsfeed_virt,560
Kukident,fra_jsi_newsfeed_virt,1
La Casera,fra_jsi_newsfeed_virt,5
La Lechera,fra_jsi_newsfeed_virt,0
La Liga,fra_jsi_newsfeed_virt,36970
La Primitiva,fra_jsi_newsfeed_virt,4
La Quiniela,fra_jsi_newsfeed_virt,2
La vaca que ríe,fra_jsi_newsfeed_virt,2
Lacasitos,fra_jsi_newsfeed_virt,1
Lagarto,fra_jsi_newsfeed_virt,87
La Piara,fra_jsi_newsfeed_virt,0
Licor del Polo,fra_jsi_newsfeed_virt,2
Ligeresa,fra_jsi_newsfeed_virt,0
Liposan,fra_jsi_newsfeed_virt,0
Mahou,fra_jsi_newsfeed_virt,4555
Manley,fra_jsi_newsfeed_virt,1511
Melia,fra_jsi_newsfeed_virt,9868
Mercadona,fra_jsi_newsfeed_virt,71
Mercromina,fra_jsi_newsfeed_virt,0
Meyba,fra_jsi_newsfeed_virt,6
Micolor,fra_jsi_newsfeed_virt,52
Mimosín,fra_jsi_newsfeed_virt,0
Mistol,fra_jsi_newsfeed_virt,7
Nancy,fra_jsi_newsfeed_virt,135526
Nenuco,fra_jsi_newsfeed_virt,74
Neopreno,fra_jsi_newsfeed_virt,0
Nestlé Nidina,fra_jsi_newsfeed_virt,0
Nocilla,fra_jsi_newsfeed_virt,10
Orbit,fra_jsi_newsfeed_virt,120581
Oscar Mayer,fra_jsi_newsfeed_virt,98
Pato,fra_jsi_newsfeed_virt,38822
Phoskitos,fra_jsi_newsfeed_virt,0
Pictolín,fra_jsi_newsfeed_virt,0
Pikolin,fra_jsi_newsfeed_virt,14
Pikolinos,fra_jsi_newsfeed_virt,2
Pinypon,fra_jsi_newsfeed_virt,2
Pladur,fra_jsi_newsfeed_virt,7
Plasticola,fra_jsi_newsfeed_virt,0
Plastidecor,fra_jsi_newsfeed_virt,1
Plastilina,fra_jsi_newsfeed_virt,2
Potitos,fra_jsi_newsfeed_virt,0
Primperan,fra_jsi_newsfeed_virt,22
Príncipe,fra_jsi_newsfeed_virt,624
Profidén,fra_jsi_newsfeed_virt,0
Pronto,fra_jsi_newsfeed_virt,530
Queroseno,fra_jsi_newsfeed_virt,0
Renfe,fra_jsi_newsfeed_virt,40741
Revilla,fra_jsi_newsfeed_virt,1198
Rhinomer,fra_jsi_newsfeed_virt,0
Roacután,fra_jsi_newsfeed_virt,0
San Miguel,fra_jsi_newsfeed_virt,887
Sellotape,fra_jsi_newsfeed_virt,23
Sicor,fra_jsi_newsfeed_virt,530
Solano,fra_jsi_newsfeed_virt,1482
Sopinstant,fra_jsi_newsfeed_virt,0
Supercor,fra_jsi_newsfeed_virt,282
Talgo,fra_jsi_newsfeed_virt,281
Talquistina,fra_jsi_newsfeed_virt,0
TBO,fra_jsi_newsfeed_virt,118
Telefónica,fra_jsi_newsfeed_virt,1193
Thrombocid,fra_jsi_newsfeed_virt,0
Tiritas,fra_jsi_newsfeed_virt,0
TostaRica,fra_jsi_newsfeed_virt,0
Trident,fra_jsi_newsfeed_virt,11895
Trinaranjus,fra_jsi_newsfeed_virt,0
Uralita,fra_jsi_newsfeed_virt,14
Vaselina,fra_jsi_newsfeed_virt,6
Ventolin,fra_jsi_newsfeed_virt,794
